Source Display for .\Instrument Errors.xlsx
ErrorName,ErrorId,ErrorType,ErrorDisplaysMsg,ErrorDisplayMsg
DR_FLUIDICS_IN_ERROR,46,ServiceCall,True,"A Droplet Reader error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
DR_PID_NOT_SETTLED_ERROR,47,ServiceCall,True,"A Droplet Reader error has occurred. Power cycle the instrument and try again. If the issue persists, please call Bio-Rad support."
DR_WASTE_BOTTLE_ERROR,48,ServiceCall,True,"A Droplet Reader error has occurred.  Please verify that the waste bottles have enough capacity available. Allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
DR_DR_BOTTLE_ERROR,49,ServiceCall,True,"A Droplet Reader error has occurred.  Please verify that the DR oil bottles have enough capacity available. Allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
DR_UNKNOWN_ERROR,50,ServiceCall,False,
TC_UART_MESSAGE_SENT_INTERRUPT_NOT_RECIEVED,51,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_UART_COMM_TIMEDOUT,52,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_UNKNOWN_UART_ERROR,53,ServiceCall,False,
TC_LINK_ERROR_BAD_CALL,54,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_LINK_ERROR_BAD_SEND,55,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_LINK_ERROR_BAD_LT_CALL,56,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_LINK_ERROR_RESP_TIMEOUT,57,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_LINK_ERROR_BAD_RESP,58,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_LINK_ERROR_SLAVE_STATUS,59,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_LINK_ERROR_BAD_RTN_IDX,60,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_LINK_ERROR_BAD_CMN_CHN,61,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_LINK_ERROR_UNEXP_RESP,62,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_LINK_ERROR_BUSY_ERROR,63,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_LINK_ERROR_ATTENTION_TO,64,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_LINK_ERROR_SLAVE_ABORT,65,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_LINK_ERROR_BAD_RCV,66,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_LINK_ERROR_SLAVE_RCV,67,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_LINK_ERROR_SLAVE_SEND,68,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_UNKNOWN_LINK_ERROR,69,ServiceCall,False,
TC_RUNSTATE_ERROR_RUNNING,70,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_RUNSTATE_ERROR_PAUSED,71,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_RUNSTATE_ERROR_HOLD,72,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_RUNSTATE_ERROR_SELF_TEST,73,Warning,False,
TC_RUNSTATE_ERROR_INCUBATE,74,Warning,False,
TC_RUNSTATE_ERROR_ABORT,75,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_RUNSTATE_ERROR_INST_CHECK,76,Warning,False,
TC_DOWNLOAD_FAILED_MESSAGE_LENGTH,77,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_DOWNLOAD_FAILED_LINK_STATUS,78,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_DOWNLOAD_FAILED_FUNC_ID,79,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_DOWNLOAD_FAILED_TIMEOUT,80,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_UNKNOWN_DOWNLOAD_FAILED,81,ServiceCall,False,
LOCAL_CONTROLLER_TO_TC_DOWNLOAD_FAILED,82,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_INSTRUMENT_TO_LOCAL_CONTROLLER_FAILED,83,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_OPERATION_NOT_ALLOWED_ERROR,84,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_UNKNOWN_ERROR,85,ServiceCall,False,
TC_LID_ERROR_NO_CHIP_DETECTED,86,ServiceCall,False,
TC_LID_ERROR_CHIP_PLACEMENT,87,ServiceCall,False,
TC_LID_UNKNOWN_ERROR,88,ServiceCall,False,
TC_LID_AXIS_ERROR_FALTED,89,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_LID_AXIS_ERROR_ENCODER_COUNT_DOES_NOT_MATCH_CSPIN,90,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_LID_AXIS_ERROR_CSPIN_COUNT_DOES_NOT_MATCH_REQUESTED,91,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_LID_AXIS_ERROR_TIMED_OUT,92,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_LID_AXIS_UNKNOWN_ERROR,93,ServiceCall,False,
TC_LID_ADC_BASED_MOTION_ERROR_ABORTED_ADC_CHANGED,94,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_LID_ADC_BASED_MOTION_ERROR_KILL_SWITCH_STOPPED_MOTOR,95,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_LID_ADC_BASED_MOTION_ERROR_NOT_ENOUGH_ADC_RANGE,96,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_LID_ADC_BASED_MOTION_ERROR_CSPIN_COUNT_DOES_NOT_MATCH_REQUESTED,97,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_LID_ADC_BASED_MOTION_ERROR_ENCODER_COUNT_DOES_NOT_MATCH_CSPIN_AT_BOTTOM,98,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_LID_ADC_BASED_MOTION_ERROR_ENCOUDER_COUNT_DOES_NOT_MATCH_CSPIN,99,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
TC_LID_ADC_BASED_MOTION_UNKNOWN_ERROR,100,ServiceCall,False,
PLATE_RESOURCE_DG_MISSING,101,ServiceCall,True,"A Droplet Generator error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
PLATE_RESOURCE_DG_IN_ERROR,102,ServiceCall,True,"A Droplet Generator error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
PLATE_RESOURCE_TC_MISSING,103,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
PLATE_RESOURCE_TC_IN_ERROR,104,ServiceCall,True,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
PLATE_RESOURCE_DR_MISSING,105,ServiceCall,True,"A Droplet Reader error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
PLATE_RESOURCE_DR_IN_ERROR,106,ServiceCall,True,"A Droplet Reader error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
PLATE_RESOURCE_PH_MISSING,107,ServiceCall,True,"A Plate Handler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
PLATE_RESOURCE_PH_IN_ERROR,108,ServiceCall,True,"A Plate Handler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
PLATE_RESOURCE_INSUFFICIENT_DG_EG_OIL,109,AssistanceNeeded,False,
PLATE_RESOURCE_INSUFFICIENT_DG_PROBE_OIL,110,AssistanceNeeded,True,"There is not enough Droplet Generation Oil for Probes to run the loaded plates.  Please add an extra bottle or one with more oil."
PLATE_RESOURCE_INSUFFICIENT_DR_OIL,111,AssistanceNeeded,True,"There is not enough Droplet Reader Oil to run the loaded plates.  Please add an extra bottle or one with more oil."
PLATE_RESOURCE_INSUFFICIENT_WASTE,112,AssistanceNeeded,True,"There is not enough Waste Oil capacity to run the loaded plates.  Please add an extra bottle or one with more capacity."
BOTTLE_MISPLACED_P1,113,AssistanceNeeded,True,"The bottle in Droplet Generation Oil for Probes position 1 is not recognised as a Droplet Generation Oil for Probes bottle.  Please try another bottle."
BOTTLE_MISPLACED_P2,114,AssistanceNeeded,True,"The bottle in Droplet Generation Oil for Probes position 2 is not recognised as a Droplet Generation Oil for Probes bottle.  Please try another bottle."
BOTTLE_MISPLACED_E1,115,AssistanceNeeded,False,
BOTTLE_MISPLACED_E2,116,AssistanceNeeded,False,
BOTTLE_MISPLACED_D1,117,AssistanceNeeded,True,"The bottle in Droplet Reader Oil position 1 is not recognised as a Droplet Reader Oil Bottle.  Please try another bottle."
BOTTLE_MISPLACED_D2,118,AssistanceNeeded,True,"The bottle in Droplet Reader Oil position 2 is not recognised as a Droplet Reader Oil Bottle.  Please try another bottle."
BOTTLE_MISPLACED_W1,119,AssistanceNeeded,True,"The bottle in Waste position 1 is not recognised as a waste bottle.  Please try another bottle."
BOTTLE_MISPLACED_W2,120,AssistanceNeeded,True,"The bottle in Waste position 2 is not recognised as a waste bottle.  Please try another bottle."
RFID_STATION_WRONG_PLATE_ID,121,AssistanceNeeded,False,
RFID_STATION_READ_FAILED,122,AssistanceNeeded,False,
RFID_STATION_WRITE_FAILED,123,AssistanceNeeded,False,
ERROR_DR_DETECTOR_LED_DRIVE_V24V_OUT_OF_RANGE,124,ServiceCall,True,"A Droplet Reader error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
ERROR_DR_DETECTOR_LED_DRIVE_V5V_OUT_OF_RANGE,125,ServiceCall,True,"A Droplet Reader error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
ERROR_DR_DETECTOR_LED_DRIVE_V3p3_OUT_OF_RANGE,126,ServiceCall,True,"A Droplet Reader error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
ERROR_DR_DETECTOR_LED_DRIVE_V12V_OUT_OF_RANGE,127,ServiceCall,True,"A Droplet Reader error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
ERROR_DR_DETECTOR_LED_DRIVE_V5p6_OUT_OF_RANGE,128,ServiceCall,True,"A Droplet Reader error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
ERROR_DR_DETECTOR_LED_DRIVE_V4p65_OUT_OF_RANGE,129,ServiceCall,True,"A Droplet Reader error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
ERROR_DR_DETECTOR_LED_DRIVE_V24_CURRENT_OUT_OF_RANGE,130,ServiceCall,True,"A Droplet Reader error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
ERROR_DR_DETECTOR_LED_DRIVE_LOCAL_TEMP_OUT_OF_RANGE,131,ServiceCall,True,"A Droplet Reader error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
ERROR_DR_DETECTOR_LED_DRIVE_REMOTE_TEMP_OUT_OF_RANGE,132,ServiceCall,True,"A Droplet Reader error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
ERROR_DR_DETECTOR_LED_DRIVE_FAN_CURRENT_RED_OUT_OF_RANGE,133,ServiceCall,True,"A Droplet Reader error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
ERROR_DR_DETECTOR_LED_DRIVE_FAN_CURRENT_GREEN_OUT_OF_RANGE,134,ServiceCall,True,"A Droplet Reader error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
ERROR_DR_DETECTOR_LED_DRIVE_LED_RED_CURRENT_OUT_OF_RANGE,135,ServiceCall,True,"A Droplet Reader error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
ERROR_DR_DETECTOR_LED_DRIVE_LED_GREEN_CURRENT_OUT_OF_RANGE,136,ServiceCall,True,"A Droplet Reader error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
ERROR_DR_DETECTOR_LED_DRIVE_LED_RED_DRIVE_TEMP_OUT_OF_RANGE,137,ServiceCall,True,"A Droplet Reader error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
ERROR_DR_DETECTOR_LED_DRIVE_LED_GREEN_DRIVE_TEMP_OUT_OF_RANGE,138,ServiceCall,True,"A Droplet Reader error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
ERROR_DR_DETECTOR_LED_DRIVE_RED_FAN_LOCK_ERROR,139,ServiceCall,True,"A Droplet Reader error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
ERROR_DR_DETECTOR_LED_DRIVE_CYAN_FAN_LOCK_ERROR,140,ServiceCall,True,"A Droplet Reader error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
ERROR_DR_DETECTOR_LED_DRIVE_PID_UNSETTLED,141,ServiceCall,False,
ERROR_DR_DETECTOR_LED_DRIVE_PID_FAILED_TIMEOUT,142,ServiceCall,True,"A Droplet Reader error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
ERROR_DR_DETECTOR_LED_DRIVE_GREEN_LED_DAC_WARNING_LEVEL_REACHED,143,Warning,False,
ERROR_DR_DETECTOR_LED_DRIVE_RED_LED_DAC_WARNING_LEVEL_REACHED,144,Warning,False,
ERROR_DR_DETECTOR_LED_DRIVE_GREEN_LED_DAC_MAX_VALUE_REACHED,145,ServiceCall,False,
ERROR_DR_DETECTOR_LED_DRIVE_RED_LED_DAC_MAX_VALUE_REACHED,146,ServiceCall,False,
ERROR_DR_DETECTOR_LED_DRIVE_FAN_FAILURE_ERROR,147,ServiceCall,True,"A Droplet Reader error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
ERROR_DR_DETECTOR_LED_DRIVE_CONFIGURATION_ERROR,148,ServiceCall,True,"A Droplet Reader error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
ERROR_DR_DETECTOR_LED_DRIVE_DIGITAL_POT_ERROR,149,ServiceCall,True,"A Droplet Reader error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
ERROR_DR_DETECTOR_LED_DRIVE_UNKNOWN_ERROR,150,ServiceCall,False,
ERROR_CHASIS_ENTRY_HOTEL_RFID_ERROR_BAD_TAG_TYPE_P1,151,AssistanceNeeded,True,"The information on Droplet Generator Probes bottle 1 could not be read successfully.  Please remove it and try another bottle."
ERROR_CHASIS_ENTRY_HOTEL_RFID_ERROR_BAD_TAG_TYPE_P2,152,AssistanceNeeded,True,"The information on Droplet Generator Probes bottle 2 could not be read successfully.  Please remove it and try another bottle."
ERROR_CHASIS_ENTRY_HOTEL_RFID_ERROR_BAD_TAG_TYPE_E1,153,AssistanceNeeded,False,
ERROR_CHASIS_ENTRY_HOTEL_RFID_ERROR_BAD_TAG_TYPE_E2,154,AssistanceNeeded,False,
ERROR_CHASIS_ENTRY_HOTEL_RFID_ERROR_BAD_TAG_TYPE_D1,155,AssistanceNeeded,True,"The information on Droplet Reader bottle 1 could not be read successfully.  Please remove it and try another bottle."
ERROR_CHASIS_ENTRY_HOTEL_RFID_ERROR_BAD_TAG_TYPE_D2,156,AssistanceNeeded,True,"The information on Droplet Reader bottle 2 could not be read successfully.  Please remove it and try another bottle."
ERROR_CHASIS_ENTRY_HOTEL_RFID_ERROR_CORRUPT_TAG_P1,157,AssistanceNeeded,False,
ERROR_CHASIS_ENTRY_HOTEL_RFID_ERROR_CORRUPT_TAG_P2,158,AssistanceNeeded,False,
ERROR_CHASIS_ENTRY_HOTEL_RFID_ERROR_CORRUPT_TAG_E1,159,AssistanceNeeded,False,
ERROR_CHASIS_ENTRY_HOTEL_RFID_ERROR_CORRUPT_TAG_E2,160,AssistanceNeeded,False,
