TOTAL JOIN TABLE SUMMARY:::::,,,,,,,,,,,
,,,,,,,,,,,
"	FirstValueSource = .\Instrument Errors.xlsx",,,,,,,,,,,
"	SecondValueSource = .\DNA2InstrumentErrorCodes.json",,,,,,,,,,,
ErrorCode_1,ErrorCode_2,ErrorType_1,ErrorType_2,ErrorModule,ErrorModuleSuggestions,ErrorHasMsg_1,ErrorHasMsgSuggestion_1,ErrorMsg_1,ErrorHasMsg_2,ErrorHasMsgSuggestion_2,ErrorMsg_2
HANDLER_EXTEND_FAILED,HANDLER_EXTEND_FAILED,ServiceCall,ServiceCall,PlateHandler,PlateHandler,TRUE,TRUE,"A Plate Handler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Plate Handler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
HANDLER_RETRACT_FAILED,HANDLER_RETRACT_FAILED,ServiceCall,ServiceCall,PlateHandler,PlateHandler,TRUE,TRUE,"A Plate Handler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Plate Handler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
HANDLER_LOAD_FAILED,HANDLER_LOAD_FAILED,ServiceCall,ServiceCall,PlateHandler,PlateHandler,TRUE,TRUE,"A Plate Handler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Plate Handler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
HANDLER_UNLOAD_FAILED,HANDLER_UNLOAD_FAILED,ServiceCall,ServiceCall,PlateHandler,PlateHandler,TRUE,TRUE,"A Plate Handler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Plate Handler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
HANDLER_NOT_INITIALIZED,HANDLER_NOT_INITIALIZED,ServiceCall,ServiceCall,PlateHandler,PlateHandler,FALSE,FALSE,,TRUE,TRUE,Handler not initialized
HANDLER_IN_ERROR_STATE,HANDLER_IN_ERROR_STATE,ServiceCall,ServiceCall,PlateHandler,PlateHandler,TRUE,TRUE,"A Plate Handler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Plate Handler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
HANDLER_PLATE_MISSING,HANDLER_PLATE_MISSING,Warning,Warning,PlateHandler,PlateHandler,FALSE,FALSE,,TRUE,TRUE,Handler plate missing
HANDLER_ASKED_TO_MOVE_OUT_OF_RANGE,HANDLER_ASKED_TO_MOVE_OUT_OF_RANGE,ServiceCall,ServiceCall,PlateHandler,PlateHandler,TRUE,TRUE,"A Plate Handler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Plate Handler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
DG_HEAT_STAKER_ERROR,DG_HEAT_STAKER_ERROR,ServiceCall,ServiceCall,DG,DG,TRUE,TRUE,"A Droplet Generator error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Droplet Generator error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
DG_HEAT_STAKER_MOTION_ERROR,DG_HEAT_STAKER_MOTION_ERROR,ServiceCall,ServiceCall,DG,DG,TRUE,TRUE,"A Droplet Generator error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Droplet Generator error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
DG_DROPLET_GENERATION_ERROR,DG_DROPLET_GENERATION_ERROR,ServiceCall,ServiceCall,DG,DG,TRUE,TRUE,"A Droplet Generator error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Droplet Generator error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
DG_HEAD_MOTION_ERROR,DG_HEAD_MOTION_ERROR,ServiceCall,ServiceCall,DG,DG,TRUE,TRUE,"A Droplet Generator error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Droplet Generator error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
DG_STAGE_MOTION_ERROR,DG_STAGE_MOTION_ERROR,ServiceCall,ServiceCall,DG,DG,TRUE,TRUE,"A Droplet Generator error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Droplet Generator error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
DG_PRESSURE_TIMEOUT_ERROR,DG_PRESSURE_TIMEOUT_ERROR,ServiceCall,ServiceCall,DG,DG,TRUE,TRUE,"A Droplet Generator error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Droplet Generator error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
DG_VACUUM_TIMEOUT_ERROR,DG_VACUUM_TIMEOUT_ERROR,ServiceCall,ServiceCall,DG,DG,TRUE,TRUE,"A Droplet Generator error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Droplet Generator error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
DG_NO_PLATE_ERROR,DG_NO_PLATE_ERROR,ServiceCall,ServiceCall,DG,DG,TRUE,TRUE,"A Droplet Generator error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Droplet Generator error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
DG_NO_CATCH_ERROR,DG_NO_CATCH_ERROR,ServiceCall,ServiceCall,DG,DG,TRUE,TRUE,"A Droplet Generator error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Droplet Generator error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
DG_NO_RESPONCE_ERROR,DG_NO_RESPONCE_ERROR,ServiceCall,ServiceCall,DG,DG,TRUE,TRUE,"A Droplet Generator error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Droplet Generator error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
DG_NOT_VALID_CHIP_ERROR,DG_NOT_VALID_CHIP_ERROR,AssistanceNeeded,AssistanceNeeded,DG,DG,TRUE,TRUE,"A Droplet Generator error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Droplet Generator error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
DG_TANK_FILL_ERROR,DG_TANK_FILL_ERROR,ServiceCall,ServiceCall,DG,DG,TRUE,TRUE,"A Droplet Generator error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Droplet Generator error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
DG_EMPTY_WASTE_ERROR,DG_EMPTY_WASTE_ERROR,ServiceCall,ServiceCall,DG,DG,TRUE,TRUE,"A Droplet Generator error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Droplet Generator error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
DG_EMPTY_WASTE_DENIED,DG_EMPTY_WASTE_DENIED,Warning,Warning,DG,DG,FALSE,FALSE,,TRUE,TRUE,"A Droplet Generator error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
DG_BUSY,DG_BUSY,ServiceCall,ServiceCall,DG,DG,TRUE,TRUE,"A Droplet Generator error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Droplet Generator error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
DG_HEATER_ERROR,DG_HEATER_ERROR,ServiceCall,Warning,DG,DG,FALSE,FALSE,,TRUE,TRUE,DG heater error
DG_UNKNOWN_ERROR,DG_UNKNOWN_ERROR,ServiceCall,ServiceCall,DG,DG,FALSE,FALSE,,TRUE,TRUE,"A Droplet Generator error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
DR_DISCOVERY_FAILED,DR_DISCOVERY_FAILED,ServiceCall,ServiceCall,DR,DR,TRUE,TRUE,"A Droplet Reader error has occurred. Power cycle the instrument and try again. If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Droplet Reader error has occurred.
 Power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
DR_STAGE_HOMING_AFTER_ERROR,DR_STAGE_HOMING_AFTER_ERROR,ServiceCall,ServiceCall,DR,DR,FALSE,FALSE,,TRUE,TRUE,"A Droplet Reader error has occurred.
 Power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
DR_STAGE_NOT_CALIBRATED,DR_STAGE_NOT_CALIBRATED,ServiceCall,ServiceCall,DR,DR,TRUE,TRUE,"A Droplet Reader error has occurred. Power cycle the instrument and try again. If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Droplet Reader error has occurred.
 Power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
DR_DATA_RECEIVER_NOT_RUNNING,DR_DATA_RECEIVER_NOT_RUNNING,ServiceCall,ServiceCall,DR,DR,FALSE,FALSE,,TRUE,TRUE,"A Droplet Reader error has occurred.
 Power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
DR_DETECTOR_LED_ERROR,DR_DETECTOR_LED_ERROR,ServiceCall,ServiceCall,DR,DR,TRUE,TRUE,"A Droplet Reader error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Droplet Reader error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
DR_NOT_ALL_BOARDS_REGISTERED,DR_NOT_ALL_BOARDS_REGISTERED,ServiceCall,ServiceCall,DR,DR,TRUE,TRUE,"A Droplet Reader error has occurred. Power cycle the instrument and try again. If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Droplet Reader error has occurred.
 Power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
DR_CONFIG_INVALID,DR_CONFIG_INVALID,ServiceCall,ServiceCall,DR,DR,TRUE,TRUE,"A Droplet Reader error has occurred. Power cycle the instrument and try again. If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Droplet Reader error has occurred.
 Power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
DR_MASTER_IN_ERROR,DR_MASTER_IN_ERROR,ServiceCall,ServiceCall,DR,DR,FALSE,FALSE,,TRUE,TRUE,"A Droplet Reader error has occurred.
 Power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
DR_WAIT_FOR_READ_TIMEOUT,DR_WAIT_FOR_READ_TIMEOUT,ServiceCall,ServiceCall,DR,DR,TRUE,TRUE,"A Droplet Reader error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Droplet Reader error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
DR_DETECTOR_IN_ERROR,DR_DETECTOR_IN_ERROR,ServiceCall,ServiceCall,DR,DR,TRUE,TRUE,"A Droplet Reader error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Droplet Reader error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
DR_FLUIDICS_IN_ERROR,DR_FLUIDICS_IN_ERROR,ServiceCall,ServiceCall,DR,DR,TRUE,TRUE,"A Droplet Reader error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Droplet Reader error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
DR_PID_NOT_SETTLED_ERROR,DR_PID_NOT_SETTLED_ERROR,ServiceCall,ServiceCall,DR,DR,TRUE,TRUE,"A Droplet Reader error has occurred. Power cycle the instrument and try again. If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Droplet Reader error has occurred.
 Power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
DR_WASTE_BOTTLE_ERROR,DR_WASTE_BOTTLE_ERROR,ServiceCall,ServiceCall,DR,"DR,Bottles",TRUE,TRUE,"A Droplet Reader error has occurred.  Please verify that the waste bottles have enough capacity available. Allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Droplet Reader error has occurred.
 Please verify that the waste bottles have enough capacity available.
 Allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
DR_DR_BOTTLE_ERROR,DR_DR_BOTTLE_ERROR,ServiceCall,ServiceCall,DR,"DR,Bottles",TRUE,TRUE,"A Droplet Reader error has occurred.  Please verify that the DR oil bottles have enough capacity available. Allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Droplet Reader error has occurred.
 Please verify that the DR oil bottles have enough capacity available.
 Allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
DR_UNKNOWN_ERROR,DR_UNKNOWN_ERROR,ServiceCall,ServiceCall,DR,DR,FALSE,FALSE,,TRUE,TRUE,"A Droplet Reader error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
TC_UART_MESSAGE_SENT_INTERRUPT_NOT_RECIEVED,TC_UART_MESSAGE_SENT_INTERRUPT_NOT_RECIEVED,ServiceCall,ServiceCall,TC,TC,TRUE,TRUE,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Thermal Cycler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
TC_UART_COMM_TIMEDOUT,TC_UART_COMM_TIMEDOUT,ServiceCall,ServiceCall,TC,TC,TRUE,TRUE,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Thermal Cycler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
TC_UNKNOWN_UART_ERROR,TC_UNKNOWN_UART_ERROR,ServiceCall,ServiceCall,TC,TC,FALSE,FALSE,,TRUE,TRUE,TC unknown uart error
TC_LINK_ERROR_BAD_CALL,TC_LINK_ERROR_BAD_CALL,ServiceCall,ServiceCall,TC,TC,TRUE,TRUE,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Thermal Cycler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
TC_LINK_ERROR_BAD_SEND,TC_LINK_ERROR_BAD_SEND,ServiceCall,ServiceCall,TC,TC,TRUE,TRUE,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Thermal Cycler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
TC_LINK_ERROR_BAD_LT_CALL,TC_LINK_ERROR_BAD_LT_CALL,ServiceCall,ServiceCall,TC,TC,TRUE,TRUE,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Thermal Cycler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
TC_LINK_ERROR_RESP_TIMEOUT,TC_LINK_ERROR_RESP_TIMEOUT,ServiceCall,ServiceCall,TC,TC,TRUE,TRUE,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Thermal Cycler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
TC_LINK_ERROR_BAD_RESP,TC_LINK_ERROR_BAD_RESP,ServiceCall,ServiceCall,TC,TC,TRUE,TRUE,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Thermal Cycler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
TC_LINK_ERROR_SLAVE_STATUS,TC_LINK_ERROR_SLAVE_STATUS,ServiceCall,ServiceCall,TC,TC,TRUE,TRUE,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Thermal Cycler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
TC_LINK_ERROR_BAD_RTN_IDX,TC_LINK_ERROR_BAD_RTN_IDX,ServiceCall,ServiceCall,TC,TC,TRUE,TRUE,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Thermal Cycler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
TC_LINK_ERROR_BAD_CMN_CHN,TC_LINK_ERROR_BAD_CMN_CHN,ServiceCall,ServiceCall,TC,TC,TRUE,TRUE,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Thermal Cycler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
TC_LINK_ERROR_UNEXP_RESP,TC_LINK_ERROR_UNEXP_RESP,ServiceCall,ServiceCall,TC,TC,TRUE,TRUE,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Thermal Cycler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
TC_LINK_ERROR_BUSY_ERROR,TC_LINK_ERROR_BUSY_ERROR,ServiceCall,ServiceCall,TC,TC,TRUE,TRUE,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Thermal Cycler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
TC_LINK_ERROR_ATTENTION_TO,TC_LINK_ERROR_ATTENTION_TO,ServiceCall,ServiceCall,TC,TC,TRUE,TRUE,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Thermal Cycler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
TC_LINK_ERROR_SLAVE_ABORT,TC_LINK_ERROR_SLAVE_ABORT,ServiceCall,ServiceCall,TC,TC,TRUE,TRUE,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Thermal Cycler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
TC_LINK_ERROR_BAD_RCV,TC_LINK_ERROR_BAD_RCV,ServiceCall,ServiceCall,TC,TC,TRUE,TRUE,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Thermal Cycler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
TC_LINK_ERROR_SLAVE_RCV,TC_LINK_ERROR_SLAVE_RCV,ServiceCall,ServiceCall,TC,TC,TRUE,TRUE,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Thermal Cycler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
TC_LINK_ERROR_SLAVE_SEND,TC_LINK_ERROR_SLAVE_SEND,ServiceCall,ServiceCall,TC,TC,TRUE,TRUE,"A Thermal Cycler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Thermal Cycler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
TC_UNKNOWN_LINK_ERROR,TC_UNKNOWN_LINK_ERROR,ServiceCall,ServiceCall,TC,TC,FALSE,FALSE,,TRUE,TRUE,TC unknown link error
